 ±º‰,µÿ –,CGI,◊Ó–°Ω”»ÎµÁ∆Ω,œ¬––≤ª¡¨–¯∑¢…‰ø™πÿ,…œ––≤ª¡¨–¯∑¢…‰ø™πÿ,GAMMAπ¶¬ ÷µ,–°«¯÷ÿ—°∆´÷√,QSearch_I,TDD_OFFSET,…œ––¡¥¬∑∂œø™º∆À„∆˜,œ¬––¡¥¬∑ŒÛ¬Î∂œø™º∆ ˝∆˜,RLINKTAFR,RLINKTAHR,÷‹∆⁄–‘Œª÷√∏¸–¬∂® ±∆˜,∂‡∆µ∂Œ÷∏ æ,1µ»º∂…œ––∏…»≈√≈œﬁ÷µ,2µ»º∂…œ––∏…»≈√≈œﬁ÷µ,3µ»º∂…œ––∏…»≈√≈œﬁ÷µ,4µ»º∂…œ––∏…»≈√≈œﬁ÷µ,◊Ó¥Û÷ÿ∑¢¥Œ ˝
2012-08-23,Œ‰∫∫,460-00-28972-44572,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28969-37106,100,ON,1,22,0,,,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-42031,103,ON,1,22,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-6953,103,ON,1,20,1,8,8,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-52966,100,ON,1,22,0,7,6,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28733-7553,100,ON,1,22,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28715-4091,103,ON,1,20,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28713-32432,100,OFF,2,12,0,7,4,32,32,32,32,20,0,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28967-15523,,,,,,,,,,,,,,,,,,
2012-08-23,œÃƒ˛,460-00-28882-11953,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28705-42962,100,ON,1,20,1,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28695-56416,100,ON,1,20,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28977-65529,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28709-7651,100,ON,1,22,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28692-43273,103,ON,1,20,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28960-8512,103,ON,1,20,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28980-17492,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28696-42706,100,ON,1,20,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28939-36253,100,ON,1,20,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28960-6313,103,ON,1,20,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28693-41114,103,ON,1,22,1,8,6,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-34472,103,ON,1,20,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-48995,100,ON,1,20,2,7,6,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28731-14715,100,ON,1,20,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28715-64853,100,ON,1,26,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28719-11131,100,ON,1,20,3,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28712-5982,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28711-7162,98,ON,1,22,5,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28883-3651,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28691-30182,103,ON,1,20,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28723-63206,100,ON,1,22,4,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28939-43693,103,ON,1,20,3,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-2162,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-1084,103,ON,1,22,0,7,6,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28719-63396,100,ON,1,26,4,8,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28881-2921,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28963-44016,98,ON,1,20,1,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28696-51546,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28934-39381,98,ON,1,26,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29142-8891,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28962-14196,98,ON,1,20,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28693-42702,103,ON,1,20,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28722-30562,103,ON,1,20,1,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28883-3852,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28726-3481,100,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28699-20201,100,ON,1,26,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28970-64479,98,ON,1,26,4,8,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28714-34012,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28960-8731,100,ON,1,20,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28722-41762,103,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28698-48875,100,ON,1,20,1,7,8,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28726-37053,100,ON,1,20,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28705-36062,100,ON,1,20,3,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28692-11555,103,ON,1,22,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28978-64126,100,ON,1,26,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28978-15162,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28932-34752,103,ON,1,20,1,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28964-26061,100,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28882-1971,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28688-36582,100,ON,1,20,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28715-43322,103,ON,1,22,1,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28720-43826,100,ON,1,22,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28969-45363,100,ON,1,26,3,,,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28707-54075,100,ON,1,22,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28717-51784,98,ON,1,20,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-52775,103,ON,1,22,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28735-17644,100,ON,1,22,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28881-7823,,,,,,,,,,,,,,,,,,
2012-08-23,œÃƒ˛,460-00-29143-9852,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28704-36873,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28693-42502,103,ON,1,22,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28689-43864,100,ON,1,22,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-4822,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28704-41546,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28882-4253,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28721-7361,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28882-8572,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28700-4951,100,ON,1,20,2,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28966-9282,100,ON,1,22,3,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28701-38374,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28708-34091,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28880-9073,100,ON,1,22,0,15,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28970-4274,100,ON,1,20,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28695-32403,100,ON,1,20,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28723-28511,100,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28934-17314,98,ON,1,22,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-10291,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28932-49713,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28725-35383,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28963-56293,98,ON,1,20,4,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28702-9643,100,ON,1,26,1,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29139-991,103,OFF,2,12,0,7,5,32,32,16,16,20,0,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28730-44631,100,ON,1,20,0,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29139-1502,100,ON,1,22,3,15,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28977-65528,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28970-12581,100,ON,1,20,1,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28726-3573,100,ON,1,22,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28697-61111,98,ON,1,26,4,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-4601,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-15635,103,ON,1,22,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28880-3231,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-29185-49322,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28977-56065,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29142-11671,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28702-56871,100,ON,1,20,5,8,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28724-44184,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28697-25552,98,ON,1,26,4,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28934-7101,98,ON,1,22,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28930-3213,100,ON,1,22,2,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28880-9053,100,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28974-15175,100,ON,1,22,2,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28719-15204,100,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29139-9592,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28721-5671,100,ON,1,22,3,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28971-12981,100,ON,1,20,0,8,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28691-41982,100,ON,1,26,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28716-183,,,,,,,,,,,,,,,,,,
2012-08-23,œÃƒ˛,460-00-29143-61,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28725-37113,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28719-18654,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-8313,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28722-6573,100,ON,1,20,1,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28715-5346,100,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28962-2262,98,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28971-32534,100,ON,1,20,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28710-59686,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28708-3543,100,ON,1,22,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28706-1603,100,ON,1,22,3,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28938-9704,98,ON,1,26,4,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28974-48534,100,ON,1,20,3,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29138-332,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28979-9342,100,ON,1,20,2,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28695-45592,100,ON,1,22,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-7073,103,ON,1,22,4,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28943-41476,103,ON,1,22,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28710-3162,100,ON,1,20,3,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28934-13644,98,ON,1,22,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28711-64224,100,ON,1,26,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29139-9382,103,OFF,2,12,0,15,5,32,32,16,16,20,0,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28704-41884,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28943-34431,103,ON,1,20,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28972-15372,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28933-27791,98,ON,1,26,4,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28703-46812,100,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28718-15031,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28730-5843,100,ON,1,20,2,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28976-50274,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-29184-17632,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28723-58311,100,ON,1,20,4,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28721-363,100,ON,1,20,3,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-8891,103,ON,1,20,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28717-24901,98,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28733-50284,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28731-9201,100,ON,1,20,1,8,8,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-2371,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28933-11921,98,ON,1,20,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-43602,103,ON,1,20,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28882-12053,100,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28973-44833,100,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28721-7372,100,ON,1,20,1,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29137-9793,103,ON,1,22,0,7,5,32,32,16,16,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28718-7292,,,,,,,,,,,,,,,,,,
